CTA_id,Cluster,SM,x,y
0,0,0,0,0
1,0,1,16,0
2,0,2,32,0
3,0,3,48,0
4,0,0,64,0
5,0,1,80,0
6,0,2,96,0
7,0,3,112,0
8,1,0,0,16
9,1,1,16,16
10,1,2,32,16
11,1,3,48,16
12,1,0,64,16
13,1,1,80,16
14,1,2,96,16
15,1,3,112,16
16,0,1,0,32
17,0,2,16,32
18,0,3,32,32
19,0,0,48,32
20,0,1,64,32
21,0,2,80,32
22,0,3,96,32
23,0,0,112,32
24,1,0,0,48
25,1,2,16,48
26,1,3,32,48
27,1,1,48,48
28,1,0,64,48
29,1,2,80,48
30,1,3,96,48
31,1,1,112,48
32,1,3,0,64
33,1,0,16,64
34,1,2,32,64
35,1,1,48,64
36,1,3,64,64
37,1,0,80,64
38,1,2,96,64
39,1,1,112,64
40,0,1,0,80
41,0,0,16,80
42,0,3,32,80
43,0,2,48,80
44,0,1,64,80
45,0,0,80,80
46,0,3,96,80
47,0,2,112,80
48,1,1,0,96
49,1,0,16,96
50,1,3,32,96
51,1,2,48,96
52,1,1,64,96
53,1,0,80,96
54,1,3,96,96
55,1,2,112,96
56,0,2,0,112
57,0,0,16,112
58,0,1,32,112
59,0,3,48,112
60,0,2,64,112
61,0,0,80,112
62,0,1,96,112
63,0,3,112,112
