CTA_id,Cluster,SM,x,y
0,0,0,0,0
1,0,1,0,16
2,0,2,0,32
3,0,3,0,48
4,0,4,0,64
5,0,5,0,80
6,0,6,0,96
7,1,0,0,112
8,1,1,16,0
9,1,2,16,16
10,1,3,16,32
11,1,4,16,48
12,1,5,16,64
13,1,6,16,80
14,0,3,16,96
15,0,0,16,112
16,0,2,32,0
17,0,6,32,16
18,0,5,32,32
19,0,4,32,48
20,0,1,32,64
21,1,1,32,80
22,1,0,32,96
23,1,5,32,112
24,1,2,48,0
25,1,3,48,16
26,1,4,48,32
27,1,6,48,48
28,0,2,48,64
29,0,4,48,80
30,0,6,48,96
31,0,5,48,112
32,0,0,64,0
33,0,3,64,16
34,0,1,64,32
35,1,4,64,48
36,1,3,64,64
37,1,2,64,80
38,1,5,64,96
39,1,1,64,112
40,1,0,80,0
41,1,6,80,16
42,1,6,80,32
43,1,5,80,48
44,1,2,80,64
45,1,1,80,80
46,1,3,80,96
47,1,4,80,112
48,1,0,96,0
49,0,1,96,16
50,0,6,96,32
51,0,3,96,48
52,0,0,96,64
53,0,2,96,80
54,0,5,96,96
55,0,4,96,112
56,1,5,112,0
57,1,6,112,16
58,1,0,112,32
59,1,3,112,48
60,1,4,112,64
61,1,1,112,80
62,1,2,112,96
63,0,5,112,112
